spot_id,broker_id,sector_name,type_name,state,municipality,settlement,corridor,region,lat,lon,title,description,area_sqm,price_sqm_mxn_rent,price_sqm_mxn_sale,price_total_mxn_rent,price_total_mxn_sale,maintenance_cost_mxn,modality,days_on_market,total_inquiries,total_views,is_active,created_at,natural_light,luminaires,charging_ports,security_type,floor_level,elevators,vertical_height_m,parking_spaces,building_status,floor_material,amenities_count,entity,anomaly_group,anomaly_score,isolation_forest_flag,anomaly_percentile_within_group,robust_deviation_explanation
2825,55,Industrial,Single,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.71216,-100.451107,"Industrial Single - juriquilla-juncos, Querétaro",Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros.,58408.5,94.0,16268.2,5490399.0,950201159.7,634252.55,both,164,8,133,True,2025-07-23,False,5,0.0,cctv,26,125,4.3,1171,fair,concrete,1.0,spot,sector_name=Industrial | modality=both,0.055762357292222675,True,0.9964285714285714,floor_level=5.7 MAD; vertical_height_m=3.8 MAD; elevators=3.1 MAD
196,225,Office,Single,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.700426,-100.45692,Single de 4557 m² en juriquilla-juncos,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales. Fácil acceso a transporte público y avenidas principales.,4557.3,818.39,,3729648.75,,417274.28,rent,1,8,194,True,2024-05-15,True,18,2.0,basic,0,10,3.2,229,fair,carpet,1.0,spot,sector_name=Office | modality=rent,0.05477462584591264,True,0.9889196675900277,maintenance_cost_mxn=3.1 MAD; parking_spaces=2.9 MAD; price_sqm_mxn_rent=2.8 MAD
425,145,Industrial,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.97516,-89.602035,"Industrial Single - paseo-montejo, Mérida",Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales. Ideal para oficinas corporativas o centro de distribución.,36195.9,,18722.92,,677692940.03,,sale,28,4,105,True,2024-12-08,True,0,,cctv,2,73,3.7,726,good,wood,2.0,spot,sector_name=Industrial | modality=sale,0.054304130070594536,True,1.0,vertical_height_m=4.4 MAD; parking_spaces=2.7 MAD; elevators=2.7 MAD
1293,11,Retail,Subspace,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.671099,-103.375309,"Subspace 464 m², americana-chapultepec",Perfecto para negocio en crecimiento. Excelente ubicación con acceso a vías principales.,464.1,,21111.96,,9798060.64,,sale,145,8,188,True,2026-01-23,True,0,,full,13,7,,16,new,concrete,1.0,spot,sector_name=Retail | modality=sale,0.05299601776370866,True,1.0,price_sqm_mxn_sale=2.2 MAD; floor_level=1.9 MAD; parking_spaces=1.7 MAD
426,134,Retail,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.62928,-106.07444,"Single Retail en centro-chihuahua, Chihuahua",Recién remodelado con acabados modernos. Perfecto para negocio en crecimiento.,1418.8,564.68,,801167.98,,99807.63,rent,29,4,50,True,2024-10-24,False,19,0.0,full,15,8,,49,good,concrete,2.0,spot,sector_name=Retail | modality=rent,0.04880834674996548,True,0.9887218045112782,parking_spaces=3.5 MAD; maintenance_cost_mxn=2.8 MAD; area_sqm=2.1 MAD
1072,203,Retail,Subspace,Guanajuato,León,Zona Centro,centro-leon,bajío,21.112605,-101.668227,"Subspace en Retail - centro-leon, León",Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,4120.7,237.45,46127.26,978460.21,190076600.28,132700.07,both,28,6,163,True,2025-11-22,False,9,,basic,5,10,4.9,145,good,concrete,0.0,spot,sector_name=Retail | modality=both,0.045860225544453015,True,0.9966777408637874,parking_spaces=3.6 MAD; maintenance_cost_mxn=2.6 MAD; area_sqm=2.5 MAD
1607,96,Office,Subspace,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.704618,-103.408241,"Subspace 4033 m², andares-puerta-hierro",Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,4033.1,,40962.66,,165206504.05,,sale,305,13,381,True,2024-08-13,True,0,0.0,full,16,14,,204,good,concrete,0.0,spot,sector_name=Office | modality=sale,0.04426370570297333,True,1.0,elevators=2.7 MAD; parking_spaces=2.5 MAD; floor_level=2.1 MAD
1656,259,Retail,Single,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.438112,-99.206999,"Single Retail en polanco, Miguel Hidalgo",Ubicación estratégica cerca de centros comerciales. Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera.,7046.7,,51383.9,,362086928.13,,sale,133,8,192,True,2024-12-12,False,4,0.0,full,1,16,3.6,234,good,,0.0,spot,sector_name=Retail | modality=sale,0.044257154308897206,True,0.9943181818181818,parking_spaces=6.1 MAD; area_sqm=3.4 MAD; elevators=2.9 MAD
869,120,Office,Subspace,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.427821,-99.190903,"Subspace en Office - polanco, Miguel Hidalgo",Zona de alta plusvalía y demanda comercial.,6505.2,,62566.47,,407007400.64,,sale,2,2,21,True,2025-08-28,False,1,5.0,basic,0,15,3.3,328,fair,concrete,4.0,spot,sector_name=Office | modality=sale,0.043619888556487796,True,0.9955555555555555,parking_spaces=2.9 MAD; elevators=2.8 MAD; area_sqm=2.4 MAD
1809,27,Office,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.97696,-89.626545,"Single Office en paseo-montejo, Mérida",Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales.,1818.1,369.14,,671133.43,,90312.15,rent,3,2,42,True,2025-10-22,False,4,4.0,cctv,30,14,,91,good,concrete,2.0,spot,sector_name=Office | modality=rent,0.04147949186534727,True,0.9861495844875346,elevators=2.7 MAD; parking_spaces=2.0 MAD; maintenance_cost_mxn=2.0 MAD
472,267,Retail,Single,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.976873,-89.611607,Single de 5304 m² en paseo-montejo,Perfecto para negocio en crecimiento. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,5304.8,217.74,46769.59,1155067.15,248103321.03,148389.41,both,81,4,86,True,2025-10-25,True,0,0.0,basic,26,20,4.4,178,good,wood,2.0,spot,sector_name=Retail | modality=both,0.040088884064632846,True,0.9933554817275747,parking_spaces=3.8 MAD; elevators=3.2 MAD; maintenance_cost_mxn=2.7 MAD
2495,268,Industrial,Single,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.41478,-99.16984,"Single Industrial en roma-condesa, Cuauhtémoc",Zona de alta plusvalía y demanda comercial.,31843.5,468.56,,14920590.36,,1665495.14,rent,27,3,40,True,2025-12-14,False,5,0.0,cctv,0,66,6.1,636,new,ceramic,0.0,spot,sector_name=Industrial | modality=rent,0.039423677273000224,True,1.0,price_sqm_mxn_rent=2.9 MAD; maintenance_cost_mxn=2.8 MAD; elevators=2.3 MAD
701,299,Industrial,Single,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.422852,-99.164204,"Single Industrial en roma-condesa, Cuauhtémoc",Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,47296.4,149.78,27003.37,7084054.79,1277162188.87,439139.02,both,269,13,184,True,2024-08-24,True,38,0.0,basic,0,94,,946,new,polished_concrete,0.0,spot,sector_name=Industrial | modality=both,0.03858001989218429,True,0.9928571428571429,elevators=2.8 MAD; parking_spaces=2.7 MAD; area_sqm=2.6 MAD
2403,81,Retail,Single,CDMX,Benito Juárez,Del Valle,del-valle-narvarte,centro,19.393358,-99.18238,"Single Retail en del-valle-narvarte, Benito Juárez",Fácil acceso a transporte público y avenidas principales. Ideal para oficinas corporativas o centro de distribución.,44.3,518.77,109510.36,22981.51,4851308.95,1986.28,both,152,7,137,True,2025-05-09,False,4,,cctv,30,11,,2,good,concrete,1.0,spot,sector_name=Retail | modality=both,0.037895546701274596,True,0.9900332225913622,floor_level=2.7 MAD; elevators=2.3 MAD; price_sqm_mxn_sale=2.1 MAD
1550,150,Land,Single,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.660992,-100.363618,"Land Single - vasconcelos-calzada, San Pedro Garza García",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento.,520.8,15.0,,7812.0,,732.04,rent,88,2,24,True,2024-12-18,False,11,,none,0,6,,2,fair,concrete,3.0,spot,sector_name=Land | modality=rent,0.03774807652474221,True,0.9949238578680203,maintenance_cost_mxn=2.1 MAD; price_sqm_mxn_rent=1.9 MAD; area_sqm=1.7 MAD
1515,99,Land,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.27327,-99.584358,Single de 304 m² en metepec-toluca,Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,304.1,,13810.36,,4199730.48,,sale,103,9,188,True,2024-06-24,True,10,18.0,basic,3,2,0.0,0,good,polished_concrete,4.0,spot,sector_name=Land | modality=sale,0.03716264577942008,True,1.0,area_sqm=2.5 MAD; parking_spaces=1.8 MAD; luminaires=1.7 MAD
1937,171,Retail,Single,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.432111,-99.180803,"Retail Single - polanco, Miguel Hidalgo",Ideal para oficinas corporativas o centro de distribución. Recién remodelado con acabados modernos. Espacio versátil adaptable a diferentes giros.,20.0,170.75,31203.48,3415.0,624069.6,401.36,both,21,2,34,True,2025-01-18,True,0,,cctv,28,10,,1,good,ceramic,0.0,spot,sector_name=Retail | modality=both,0.03657881219677683,True,0.9867109634551495,floor_level=2.6 MAD; elevators=2.2 MAD; price_sqm_mxn_rent=1.4 MAD
542,279,Retail,Single,Baja California,Tijuana,Zona Río,zona-rio-aguacaliente,noroeste,32.519704,-117.043945,Single de 58 m² en zona-rio-aguacaliente,Recién remodelado con acabados modernos. Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,58.6,121.67,25105.0,7129.86,1471153.0,503.51,both,7,1,10,True,2025-09-03,True,10,13.0,basic,25,8,2.7,2,fair,carpet,0.0,spot,sector_name=Retail | modality=both,0.036466222411379756,True,0.9833887043189369,vertical_height_m=2.7 MAD; floor_level=2.5 MAD; price_sqm_mxn_rent=2.4 MAD
602,76,Land,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.261932,-99.610152,"Land Single - metepec-toluca, Toluca",Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,4335.3,,5964.72,,25858850.62,,sale,30,2,49,False,2025-03-27,False,30,,basic,7,11,,0,good,concrete,0.0,spot,sector_name=Land | modality=sale,0.03538291292948603,True,0.9920634920634921,luminaires=2.7 MAD; parking_spaces=1.8 MAD; amenities_count=1.5 MAD
2928,283,Industrial,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.668808,-103.365256,"Single Industrial en americana-chapultepec, Guadalajara",Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,31979.0,119.72,,3828525.88,,226485.83,rent,190,8,199,True,2026-03-27,False,0,16.0,basic,13,68,7.5,640,fair,carpet,4.0,spot,sector_name=Industrial | modality=rent,0.034210983516967386,True,0.9972826086956522,elevators=2.3 MAD; parking_spaces=2.0 MAD; area_sqm=1.9 MAD
64,184,Office,Single,Estado de México,Toluca,Metepec,metepec-toluca,centro,19.260209,-99.617976,"Office Single - metepec-toluca, Toluca",Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,3928.6,201.94,,793341.48,,46715.47,rent,30,2,40,True,2026-02-02,True,14,0.0,cctv,4,10,1.5,196,fair,polished_concrete,0.0,spot,sector_name=Office | modality=rent,0.03271191152222508,True,0.9833795013850416,vertical_height_m=4.4 MAD; parking_spaces=2.7 MAD; area_sqm=2.4 MAD
943,67,Industrial,Subspace,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.664121,-100.318551,"Subspace en Industrial - macroplaza, Monterrey",Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,25533.1,187.57,,4789243.57,,406212.54,rent,171,11,224,True,2025-08-29,True,5,15.0,basic,8,54,10.3,513,good,polished_concrete,3.0,spot,sector_name=Industrial | modality=rent,0.03193235986896448,True,0.9945652173913043,elevators=2.1 MAD; vertical_height_m=1.9 MAD; maintenance_cost_mxn=1.8 MAD
190,145,Office,Single,Querétaro,Querétaro,Juriquilla,juriquilla-juncos,bajío,20.711672,-100.44823,"Office Single - juriquilla-juncos, Querétaro",Seguridad 24/7 y control de acceso.,10025.9,221.31,40072.25,2218831.93,401760371.27,128798.59,both,129,10,118,True,2026-02-28,True,2,0.0,cctv,0,21,2.3,503,good,concrete,0.0,spot,sector_name=Office | modality=both,0.030937848351793362,True,1.0,parking_spaces=3.6 MAD; elevators=3.3 MAD; area_sqm=2.9 MAD
698,70,Office,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.704649,-103.432291,"Office Single - andares-puerta-hierro, Zapopan",Ubicación estratégica cerca de centros comerciales.,2079.2,361.17,77035.48,750944.66,160172170.02,90648.96,both,275,6,75,True,2024-08-05,True,39,2.0,full,9,7,,106,good,polished_concrete,0.0,spot,sector_name=Office | modality=both,0.03058641004785212,True,0.9965753424657534,parking_spaces=2.1 MAD; maintenance_cost_mxn=1.9 MAD; area_sqm=1.8 MAD
2597,246,Office,Single,Nuevo León,San Pedro Garza García,Del Valle,vasconcelos-calzada,noreste,25.667011,-100.377051,"Office Single - vasconcelos-calzada, San Pedro Garza García",Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos.,10481.9,258.41,50256.9,2708627.78,526787800.11,196786.19,both,221,14,177,True,2025-07-10,True,0,0.0,none,3,24,3.5,527,needs_renovation,concrete,0.0,spot,sector_name=Office | modality=both,0.030144467217378512,True,0.9931506849315068,parking_spaces=3.7 MAD; elevators=3.5 MAD; area_sqm=3.0 MAD
650,115,Retail,Subspace,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.672018,-103.373693,"Subspace en Retail - americana-chapultepec, Guadalajara",Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,29.6,181.16,,5362.34,,307.66,rent,157,10,249,True,2025-10-19,True,12,,basic,0,0,,0,fair,,0.0,spot,sector_name=Retail | modality=rent,0.02459710760366085,True,0.9849624060150376,parking_spaces=3.0 MAD; elevators=1.8 MAD; maintenance_cost_mxn=1.5 MAD
706,114,Office,Subspace,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.676572,-100.316964,"Subspace 3517 m², macroplaza",Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales. Recién remodelado con acabados modernos.,3517.4,,41766.24,,146908572.58,,sale,126,6,137,True,2025-05-17,True,0,8.0,basic,3,10,2.2,177,new,ceramic,4.0,spot,sector_name=Office | modality=sale,0.02448432928898514,True,0.9911111111111112,parking_spaces=2.4 MAD; elevators=2.2 MAD; vertical_height_m=2.1 MAD
1102,149,Land,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.711339,-103.411309,"Single Land en andares-puerta-hierro, Zapopan",Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución. Perfecto para negocio en crecimiento.,39906.6,174.16,30548.94,6950133.46,1219104329.0,399758.94,both,20,2,43,True,2024-06-27,True,3,0.0,none,10,83,0.0,0,good,concrete,0.0,spot,sector_name=Land | modality=both,0.023750468439010186,True,1.0,parking_spaces=2.6 MAD; price_sqm_mxn_sale=2.4 MAD; price_sqm_mxn_rent=2.4 MAD
1324,120,Office,Subspace,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.445728,-99.184593,"Subspace en Office - polanco, Miguel Hidalgo",Espacio listo para ocupar con acabados de primera. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,7178.4,344.77,,2474896.97,,343156.97,rent,49,6,66,True,2026-03-27,True,15,0.0,cctv,8,19,3.1,358,new,wood,2.0,spot,sector_name=Office | modality=rent,0.023522582788598645,True,0.9806094182825484,parking_spaces=3.3 MAD; elevators=3.2 MAD; maintenance_cost_mxn=3.0 MAD
2456,256,Industrial,Single,Jalisco,Zapopan,Puerta de Hierro,andares-puerta-hierro,occidente,20.706129,-103.408511,"Single Industrial en andares-puerta-hierro, Zapopan",Ubicación estratégica cerca de centros comerciales. Fácil acceso a transporte público y avenidas principales.,40452.4,122.91,,4972004.48,,693234.6,rent,18,5,95,True,2024-12-06,True,0,0.0,basic,9,86,9.1,810,good,carpet,0.0,spot,sector_name=Industrial | modality=rent,0.022650697411288667,True,0.9918478260869565,elevators=2.6 MAD; maintenance_cost_mxn=2.2 MAD; parking_spaces=2.2 MAD
177,41,Industrial,Subspace,CDMX,Cuauhtémoc,Roma Norte,roma-condesa,centro,19.419064,-99.164779,"Subspace en Industrial - roma-condesa, Cuauhtémoc",Seguridad 24/7 y control de acceso. Fácil acceso a transporte público y avenidas principales. Perfecto para negocio en crecimiento.,31730.4,121.14,17569.11,3843820.66,557474887.94,403876.67,both,89,9,117,True,2025-07-01,True,19,2.0,cctv,3,64,12.8,637,fair,wood,3.0,spot,sector_name=Industrial | modality=both,0.022038729501693166,True,0.9892857142857143,vertical_height_m=3.1 MAD; elevators=2.3 MAD; parking_spaces=2.3 MAD
744,14,Industrial,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.634846,-106.082513,Single de 35371 m² en centro-chihuahua,Recién remodelado con acabados modernos.,35371.3,,14470.86,,511853130.32,,sale,70,9,205,True,2026-01-09,False,3,0.0,cctv,3,71,,709,new,ceramic,4.0,spot,sector_name=Industrial | modality=sale,0.021867098921578565,True,0.9957264957264957,parking_spaces=2.7 MAD; elevators=2.6 MAD; area_sqm=2.4 MAD
308,283,Land,Single,CDMX,Miguel Hidalgo,Polanco,polanco,centro,19.43179,-99.192605,"Single Land en polanco, Miguel Hidalgo",Perfecto para negocio en crecimiento.,72731.5,93.12,14973.36,6772757.28,1089034932.84,669499.77,both,88,3,52,True,2024-04-07,True,4,0.0,basic,3,148,,2,good,ceramic,4.0,spot,sector_name=Land | modality=both,0.021722279412278334,True,0.9942528735632183,elevators=2.9 MAD; maintenance_cost_mxn=2.4 MAD; area_sqm=2.2 MAD
327,119,Office,Subspace,Puebla,Puebla,Angelópolis,angelopolis-lomas,centro-oriente,19.014338,-98.246416,"Subspace en Office - angelopolis-lomas, Puebla",Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales.,47.5,347.95,73157.29,16527.62,3474971.27,2018.46,both,97,7,109,True,2025-06-03,True,11,,full,28,11,,2,new,polished_concrete,2.0,spot,sector_name=Office | modality=both,0.02124391621980093,True,0.9897260273972602,floor_level=2.6 MAD; elevators=2.3 MAD; parking_spaces=1.3 MAD
269,179,Retail,Single,Guanajuato,León,Zona Centro,centro-leon,bajío,21.134609,-101.68351,"Retail Single - centro-leon, León",Recién remodelado con acabados modernos.,2865.8,433.36,83660.44,1241923.09,239754088.95,143914.71,both,61,4,103,True,2025-06-07,True,0,0.0,cctv,27,14,3.9,95,good,polished_concrete,1.0,spot,sector_name=Retail | modality=both,0.021154978734076013,True,0.9800664451827242,parking_spaces=3.1 MAD; maintenance_cost_mxn=2.7 MAD; elevators=2.7 MAD
2148,31,Land,Single,Chihuahua,Chihuahua,Centro,centro-chihuahua,norte,28.627838,-106.069488,Single de 17382 m² en centro-chihuahua,Espacio listo para ocupar con acabados de primera.,17382.6,193.91,39827.14,3370659.97,692299243.76,337693.16,both,296,7,178,True,2026-01-28,True,6,5.0,cctv,3,36,0.0,1,fair,concrete,3.0,spot,sector_name=Land | modality=both,0.020610424038957964,True,0.9885057471264368,price_sqm_mxn_sale=2.9 MAD; price_sqm_mxn_rent=2.6 MAD; maintenance_cost_mxn=2.0 MAD
83,129,Industrial,Single,Jalisco,Guadalajara,Colonia Americana,americana-chapultepec,occidente,20.6723,-103.377843,"Single Industrial en americana-chapultepec, Guadalajara",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales.,340.5,96.46,20561.01,32844.63,7001023.9,1942.13,both,24,0,0,True,2025-03-19,False,19,3.0,cctv,3,1,,9,good,concrete,3.0,spot,sector_name=Industrial | modality=both,0.020174321428730657,True,0.9857142857142858,maintenance_cost_mxn=2.4 MAD; floor_level=2.0 MAD; area_sqm=2.0 MAD
2193,39,Industrial,Subspace,Yucatán,Mérida,Centro,paseo-montejo,sureste,20.975596,-89.616694,"Subspace en Industrial - paseo-montejo, Mérida",Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos. Espacio listo para ocupar con acabados de primera.,6857.7,,43549.29,,298647966.03,,sale,121,13,264,True,2024-01-31,True,7,16.0,cctv,0,15,,139,fair,,0.0,spot,sector_name=Industrial | modality=sale,0.019464119160160775,True,0.9914529914529915,price_sqm_mxn_sale=1.5 MAD; parking_spaces=1.1 MAD; area_sqm=0.9 MAD
955,117,Office,Single,Nuevo León,Monterrey,Centro,macroplaza,noreste,25.696394,-100.311655,Single de 10328 m² en macroplaza,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,10328.5,279.1,52519.34,2882684.35,542446003.19,145614.4,both,62,2,46,True,2025-01-02,False,3,0.0,cctv,3,21,3.8,519,new,ceramic,2.0,spot,sector_name=Office | modality=both,0.018824093672773268,True,0.9863013698630136,parking_spaces=3.7 MAD; elevators=3.3 MAD; area_sqm=3.0 MAD
