spot_id,sample_stratum,original_text,title,description,sector_name,type_name,natural_light,security_type,parking_spaces,building_status,floor_material,elevators,vertical_height_m,amenities,rule_claim_natural_light,rule_claim_security,rule_claim_parking,rule_claim_readiness,rule_direct_conflict_flag,rule_land_building_copy_flag,rule_ambiguity_candidate_flag
657,rules_positive,"Industrial compartido en roma-condesa, Cuauhtémoc
Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento.","Industrial compartido en roma-condesa, Cuauhtémoc",Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento.,Industrial,Subspace,true,cctv,11,needs_renovation,concrete,3,,"[""storage"", ""security_booth"", ""cafeteria"", ""parking""]",0,0,1,1,1,0,0
1267,rules_positive,"Subspace 69 m², roma-condesa
Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Amplio espacio con buena iluminación natural.","Subspace 69 m², roma-condesa",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Amplio espacio con buena iluminación natural.,Retail,Subspace,false,full,3,good,concrete,2,3.5,"[""gym"", ""lounge""]",1,0,0,0,1,0,0
2487,rules_positive,"Subspace 674 m², andares-puerta-hierro
Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.","Subspace 674 m², andares-puerta-hierro",Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.,Industrial,Subspace,false,basic,13,new,ceramic,1,9.5,"[""rooftop"", ""conference_room"", ""cafeteria"", ""reception""]",1,1,0,0,1,0,1
1123,rules_positive,"Single Retail en andares-puerta-hierro, Zapopan
Zona de alta plusvalía y demanda comercial. Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento.","Single Retail en andares-puerta-hierro, Zapopan",Zona de alta plusvalía y demanda comercial. Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento.,Retail,Single,false,basic,12,fair,concrete,2,2.2,"[""storage"", ""gym"", ""lounge""]",1,0,0,0,1,0,0
1733,rules_positive,"Industrial Single - lomas-carranza, San Luis Potosí
Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.","Industrial Single - lomas-carranza, San Luis Potosí",Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,Industrial,Single,false,cctv,334,fair,concrete,36,,"[""security_booth"", ""parking"", ""kitchen"", ""storage""]",1,0,0,0,1,0,0
835,rules_positive,"Single de 3661 m² en vasconcelos-calzada
Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución.",Single de 3661 m² en vasconcelos-calzada,Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución.,Land,Single,false,cctv,0,fair,polished_concrete,8,0.0,"[""gym"", ""security_booth"", ""conference_room"", ""storage""]",0,0,1,0,1,0,0
314,rules_positive,"Subspace 3625 m², andares-puerta-hierro
Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.","Subspace 3625 m², andares-puerta-hierro",Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,Industrial,Subspace,false,cctv,75,new,polished_concrete,8,6.6,"[""storage""]",1,0,0,0,1,0,0
636,rules_positive,"Industrial Single - lomas-carranza, San Luis Potosí
Espacio versátil adaptable a diferentes giros. Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.","Industrial Single - lomas-carranza, San Luis Potosí",Espacio versátil adaptable a diferentes giros. Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,Industrial,Single,false,cctv,26,fair,concrete,2,7.6,"[""lounge"", ""gym""]",1,0,0,0,1,0,0
1479,rules_positive,"Single Retail en centro-chihuahua, Chihuahua
Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Zona de alta plusvalía y demanda comercial.","Single Retail en centro-chihuahua, Chihuahua",Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Zona de alta plusvalía y demanda comercial.,Retail,Single,true,basic,1,needs_renovation,carpet,2,4.6,[],0,1,0,1,1,0,1
492,rules_positive,"Subspace en Retail - lomas-carranza, San Luis Potosí
Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros.","Subspace en Retail - lomas-carranza, San Luis Potosí",Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros.,Retail,Subspace,false,full,5,needs_renovation,concrete,0,,"[""reception"", ""parking""]",1,0,0,0,1,0,0
2322,rules_positive,"Single de 56231 m² en juriquilla-juncos
Espacio listo para ocupar con acabados de primera. Ideal para oficinas corporativas o centro de distribución. Fácil acceso a transporte público y avenidas principales.",Single de 56231 m² en juriquilla-juncos,Espacio listo para ocupar con acabados de primera. Ideal para oficinas corporativas o centro de distribución. Fácil acceso a transporte público y avenidas principales.,Land,Single,true,none,3,needs_renovation,concrete,112,0.0,"[""parking"", ""kitchen"", ""rooftop"", ""storage""]",0,0,0,1,1,1,0
2034,rules_positive,"Single de 60936 m² en americana-chapultepec
Recién remodelado con acabados modernos.",Single de 60936 m² en americana-chapultepec,Recién remodelado con acabados modernos.,Land,Single,true,cctv,2,needs_renovation,concrete,123,,[],0,0,0,1,1,1,0
2500,rules_positive,"Single de 3546 m² en roma-condesa
Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento.",Single de 3546 m² en roma-condesa,Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento.,Land,Single,false,basic,1,fair,concrete,7,0.0,[],1,0,0,0,1,1,0
526,rules_positive,"Land Single - juriquilla-juncos, Querétaro
Cuenta con todos los servicios y estacionamiento.","Land Single - juriquilla-juncos, Querétaro",Cuenta con todos los servicios y estacionamiento.,Land,Single,true,cctv,0,good,concrete,22,,[],0,0,1,0,1,0,0
2212,rules_positive,"Single de 5072 m² en lomas-carranza
Amplio espacio con buena iluminación natural. Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento.",Single de 5072 m² en lomas-carranza,Amplio espacio con buena iluminación natural. Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento.,Industrial,Single,false,basic,102,new,ceramic,10,10.7,[],1,0,1,1,1,0,0
644,land_semantic_residual,"Single Land en andares-puerta-hierro, Zapopan
Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.","Single Land en andares-puerta-hierro, Zapopan",Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,Land,Single,true,none,1,good,concrete,56,0.0,"[""conference_room"", ""cafeteria"", ""gym""]",1,0,0,0,0,1,0
877,land_semantic_residual,"Land Single - lomas-carranza, San Luis Potosí
Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.","Land Single - lomas-carranza, San Luis Potosí",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,Land,Single,true,basic,2,good,ceramic,86,,[],0,0,0,1,0,1,0
2419,land_semantic_residual,"Land Single - centro-queretaro, Querétaro
Ubicación estratégica cerca de centros comerciales. Espacio listo para ocupar con acabados de primera. Amplio espacio con buena iluminación natural.","Land Single - centro-queretaro, Querétaro",Ubicación estratégica cerca de centros comerciales. Espacio listo para ocupar con acabados de primera. Amplio espacio con buena iluminación natural.,Land,Single,true,basic,1,good,carpet,0,0.0,[],1,0,0,1,0,1,0
2042,land_semantic_residual,"Land Single - angelopolis-lomas, Puebla
Espacio listo para ocupar con acabados de primera.","Land Single - angelopolis-lomas, Puebla",Espacio listo para ocupar con acabados de primera.,Land,Single,true,basic,1,good,ceramic,18,,[],0,0,0,1,0,1,0
1055,land_semantic_residual,"Subspace en Land - americana-chapultepec, Guadalajara
Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos.","Subspace en Land - americana-chapultepec, Guadalajara",Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos.,Land,Subspace,false,full,3,new,ceramic,6,0.0,"[""rooftop"", ""conference_room""]",0,1,0,1,0,1,0
2275,land_semantic_residual,"Single Land en zona-rio-aguacaliente, Tijuana
Amplio espacio con buena iluminación natural.","Single Land en zona-rio-aguacaliente, Tijuana",Amplio espacio con buena iluminación natural.,Land,Single,true,cctv,1,fair,ceramic,5,0.0,"[""loading_dock""]",1,0,0,0,0,1,0
1898,land_semantic_residual,"Land compartido en americana-chapultepec, Guadalajara
Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.","Land compartido en americana-chapultepec, Guadalajara",Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,Land,Subspace,true,cctv,4,fair,,12,,[],0,0,0,1,0,1,0
2741,land_semantic_residual,"Subspace 6533 m², vasconcelos-calzada
Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.","Subspace 6533 m², vasconcelos-calzada",Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,Land,Subspace,true,cctv,4,new,polished_concrete,14,0.0,[],0,0,0,1,0,1,0
157,land_semantic_residual,"Land Single - centenario-colosio, Hermosillo
Ideal para oficinas corporativas o centro de distribución. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.","Land Single - centenario-colosio, Hermosillo",Ideal para oficinas corporativas o centro de distribución. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,Land,Single,true,cctv,3,fair,concrete,4,0.0,"[""parking""]",0,0,0,1,0,1,0
1178,land_semantic_residual,"Subspace 886 m², centro-chihuahua
Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural.","Subspace 886 m², centro-chihuahua",Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural.,Land,Subspace,true,basic,0,good,ceramic,2,0.0,"[""meeting_rooms"", ""kitchen"", ""security_booth""]",1,0,0,0,0,1,0
746,land_semantic_residual,"Subspace 2586 m², angelopolis-lomas
Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera.","Subspace 2586 m², angelopolis-lomas",Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera.,Land,Subspace,true,cctv,1,new,polished_concrete,7,0.0,[],0,0,0,1,0,1,0
2343,land_semantic_residual,"Subspace 22094 m², lomas-verdes-satelite
Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.","Subspace 22094 m², lomas-verdes-satelite",Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.,Land,Subspace,true,basic,2,fair,carpet,44,0.0,"[""kitchen"", ""storage"", ""parking""]",0,0,0,1,0,1,0
1356,land_semantic_residual,"Single Land en metepec-toluca, Toluca
Espacio listo para ocupar con acabados de primera. Fácil acceso a transporte público y avenidas principales.","Single Land en metepec-toluca, Toluca",Espacio listo para ocupar con acabados de primera. Fácil acceso a transporte público y avenidas principales.,Land,Single,false,none,6,good,ceramic,40,0.0,"[""cafeteria""]",0,0,0,1,0,1,0
602,land_semantic_residual,"Land Single - metepec-toluca, Toluca
Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.","Land Single - metepec-toluca, Toluca",Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,Land,Single,false,basic,0,good,concrete,11,,[],0,0,0,1,0,1,0
225,land_semantic_residual,"Single de 1957 m² en polanco
Espacio listo para ocupar con acabados de primera.",Single de 1957 m² en polanco,Espacio listo para ocupar con acabados de primera.,Land,Single,false,basic,1,good,ceramic,4,0.0,"[""rooftop"", ""lounge"", ""conference_room"", ""meeting_rooms""]",0,0,0,1,0,1,0
2432,land_semantic_residual,"Land Single - centro-leon, León
Ubicación estratégica cerca de centros comerciales. Recién remodelado con acabados modernos.","Land Single - centro-leon, León",Ubicación estratégica cerca de centros comerciales. Recién remodelado con acabados modernos.,Land,Single,true,cctv,2,good,concrete,34,0.0,"[""storage"", ""rooftop""]",0,0,0,1,0,1,0
691,land_semantic_residual,"Single de 2292 m² en centro-queretaro
Recién remodelado con acabados modernos.",Single de 2292 m² en centro-queretaro,Recién remodelado con acabados modernos.,Land,Single,false,full,1,good,,5,0.0,"[""gym""]",0,0,0,1,0,1,0
1911,land_semantic_residual,"Land Single - zona-rio-aguacaliente, Tijuana
Recién remodelado con acabados modernos. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.","Land Single - zona-rio-aguacaliente, Tijuana",Recién remodelado con acabados modernos. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,Land,Single,true,basic,2,fair,ceramic,1,,[],0,1,0,1,0,1,1
2932,land_semantic_residual,"Single de 2160 m² en vasconcelos-calzada
Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento.",Single de 2160 m² en vasconcelos-calzada,Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento.,Land,Single,true,basic,0,good,polished_concrete,7,0.0,"[""rooftop"", ""cafeteria"", ""parking""]",0,1,1,1,0,1,1
1568,land_semantic_residual,"Single Land en macroplaza, Monterrey
Ubicación estratégica cerca de centros comerciales. Fácil acceso a transporte público y avenidas principales. Recién remodelado con acabados modernos.","Single Land en macroplaza, Monterrey",Ubicación estratégica cerca de centros comerciales. Fácil acceso a transporte público y avenidas principales. Recién remodelado con acabados modernos.,Land,Single,true,basic,2,new,carpet,5,0.0,[],0,0,0,1,0,1,0
1047,land_semantic_residual,"Land Single - del-valle-narvarte, Benito Juárez
Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.","Land Single - del-valle-narvarte, Benito Juárez",Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,Land,Single,true,basic,2,new,,3,0.0,"[""meeting_rooms"", ""parking"", ""cafeteria""]",0,0,0,1,0,1,0
471,land_semantic_residual,"Subspace en Land - centro-leon, León
Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento. Excelente ubicación con acceso a vías principales.","Subspace en Land - centro-leon, León",Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento. Excelente ubicación con acceso a vías principales.,Land,Subspace,true,basic,5,fair,concrete,9,,"[""cafeteria"", ""kitchen"", ""security_booth""]",0,0,1,1,0,1,0
1081,land_semantic_residual,"Subspace en Land - centenario-colosio, Hermosillo
Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.","Subspace en Land - centenario-colosio, Hermosillo",Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,Land,Subspace,true,basic,0,good,polished_concrete,16,0.0,"[""rooftop"", ""gym"", ""meeting_rooms""]",1,0,0,0,0,1,0
306,land_semantic_residual,"Single de 4386 m² en metepec-toluca
Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento.",Single de 4386 m² en metepec-toluca,Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento.,Land,Single,false,basic,3,good,polished_concrete,11,,"[""security_booth"", ""rooftop"", ""gym""]",0,0,1,1,0,1,0
2369,land_semantic_residual,"Land Single - centro-leon, León
Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.","Land Single - centro-leon, León",Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,Land,Single,true,basic,5,fair,concrete,13,,"[""storage"", ""lounge"", ""meeting_rooms""]",0,0,0,1,0,1,0
2207,ambiguity_challenge,"Subspace en Office - americana-chapultepec, Guadalajara
Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.","Subspace en Office - americana-chapultepec, Guadalajara",Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,Office,Subspace,true,basic,29,new,concrete,1,3.0,[],0,1,0,0,0,0,1
2817,ambiguity_challenge,"Subspace en Office - del-valle-narvarte, Benito Juárez
Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.","Subspace en Office - del-valle-narvarte, Benito Juárez",Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,Office,Subspace,true,basic,64,needs_renovation,wood,3,3.4,[],0,1,0,0,0,0,1
1165,ambiguity_challenge,"Retail Single - lomas-verdes-satelite, Naucalpan de Juárez
Seguridad 24/7 y control de acceso.","Retail Single - lomas-verdes-satelite, Naucalpan de Juárez",Seguridad 24/7 y control de acceso.,Retail,Single,true,cctv,3,good,ceramic,7,4.0,"[""reception"", ""security_booth""]",0,1,0,0,0,0,1
788,ambiguity_challenge,"Industrial Single - roma-condesa, Cuauhtémoc
Ideal para oficinas corporativas o centro de distribución. Cuenta con todos los servicios y estacionamiento. Seguridad 24/7 y control de acceso.","Industrial Single - roma-condesa, Cuauhtémoc",Ideal para oficinas corporativas o centro de distribución. Cuenta con todos los servicios y estacionamiento. Seguridad 24/7 y control de acceso.,Industrial,Single,true,cctv,72,fair,polished_concrete,6,8.0,"[""security_booth"", ""reception"", ""lounge""]",0,1,1,0,0,0,1
411,ambiguity_challenge,"Industrial Single - americana-chapultepec, Guadalajara
Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros. Ideal para oficinas corporativas o centro de distribución.","Industrial Single - americana-chapultepec, Guadalajara",Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros. Ideal para oficinas corporativas o centro de distribución.,Industrial,Single,true,cctv,94,fair,ceramic,9,9.2,[],0,1,0,0,0,0,1
2474,ambiguity_challenge,"Single de 93 m² en polanco
Seguridad 24/7 y control de acceso.",Single de 93 m² en polanco,Seguridad 24/7 y control de acceso.,Office,Single,false,basic,5,fair,concrete,1,2.5,[],0,1,0,0,0,0,1
123,ambiguity_challenge,"Single Industrial en centenario-colosio, Hermosillo
Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.","Single Industrial en centenario-colosio, Hermosillo",Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,Industrial,Single,true,basic,7,good,wood,4,6.0,[],0,1,0,0,0,0,1
2563,ambiguity_challenge,"Single de 366 m² en del-valle-narvarte
Seguridad 24/7 y control de acceso.",Single de 366 m² en del-valle-narvarte,Seguridad 24/7 y control de acceso.,Office,Single,false,basic,20,new,ceramic,3,,[],0,1,0,0,0,0,1
1809,ambiguity_challenge,"Single Office en paseo-montejo, Mérida
Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales.","Single Office en paseo-montejo, Mérida",Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales.,Office,Single,false,cctv,91,good,concrete,14,,"[""meeting_rooms"", ""conference_room""]",0,1,0,1,0,0,1
1665,ambiguity_challenge,"Single Land en lomas-verdes-satelite, Naucalpan de Juárez
Perfecto para negocio en crecimiento. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.","Single Land en lomas-verdes-satelite, Naucalpan de Juárez",Perfecto para negocio en crecimiento. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,Land,Single,false,basic,2,good,ceramic,4,,"[""conference_room""]",0,1,0,0,0,0,1
534,ambiguity_challenge,"Single de 174 m² en paseo-montejo
Cuenta con todos los servicios y estacionamiento. Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.",Single de 174 m² en paseo-montejo,Cuenta con todos los servicios y estacionamiento. Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,Retail,Single,true,basic,6,good,ceramic,0,3.2,"[""parking"", ""kitchen""]",0,1,1,0,0,0,1
623,ambiguity_challenge,"Subspace en Office - centro-leon, León
Seguridad 24/7 y control de acceso.","Subspace en Office - centro-leon, León",Seguridad 24/7 y control de acceso.,Office,Subspace,true,basic,4,good,polished_concrete,3,,"[""kitchen""]",0,1,0,0,0,0,1
2220,ambiguity_challenge,"Office Single - macroplaza, Monterrey
Seguridad 24/7 y control de acceso.","Office Single - macroplaza, Monterrey",Seguridad 24/7 y control de acceso.,Office,Single,true,cctv,54,good,carpet,2,3.9,[],0,1,0,0,0,0,1
246,ambiguity_challenge,"Subspace en Office - centro-leon, León
Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento.","Subspace en Office - centro-leon, León",Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento.,Office,Subspace,true,basic,14,new,ceramic,1,2.5,"[""cafeteria"", ""conference_room""]",0,1,0,0,0,0,1
1466,ambiguity_challenge,"Single Industrial en americana-chapultepec, Guadalajara
Seguridad 24/7 y control de acceso. Ideal para oficinas corporativas o centro de distribución.","Single Industrial en americana-chapultepec, Guadalajara",Seguridad 24/7 y control de acceso. Ideal para oficinas corporativas o centro de distribución.,Industrial,Single,true,cctv,115,new,,13,5.8,[],0,1,0,0,0,0,1
1089,ambiguity_challenge,"Single Office en centro-leon, León
Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso.","Single Office en centro-leon, León",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso.,Office,Single,true,basic,20,new,concrete,2,3.7,[],0,1,0,0,0,0,1
2919,ambiguity_challenge,"Subspace 724 m², lomas-verdes-satelite
Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.","Subspace 724 m², lomas-verdes-satelite",Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,Office,Subspace,true,cctv,38,good,,4,3.4,"[""meeting_rooms"", ""rooftop"", ""cafeteria"", ""conference_room""]",0,1,0,0,0,0,1
335,ambiguity_challenge,"Single de 2177 m² en paseo-montejo
Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.",Single de 2177 m² en paseo-montejo,Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.,Industrial,Single,false,basic,43,new,concrete,6,7.0,"[""parking"", ""meeting_rooms"", ""rooftop"", ""cafeteria""]",0,1,0,0,0,0,1
568,ambiguity_challenge,"Retail Single - zona-rio-aguacaliente, Tijuana
Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.","Retail Single - zona-rio-aguacaliente, Tijuana",Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.,Retail,Single,false,basic,8,new,carpet,1,,"[""loading_dock""]",0,1,0,0,0,0,1
1411,ambiguity_challenge,"Single Retail en centro-chihuahua, Chihuahua
Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución.","Single Retail en centro-chihuahua, Chihuahua",Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución.,Retail,Single,true,cctv,61,new,concrete,5,4.5,"[""storage"", ""lounge"", ""conference_room""]",1,0,0,0,0,0,1
