spot_id,sector_name,type_name,rule_id,claim_type,evidence_text,structured_field,structured_value,classification,severity,reason
810,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
812,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
817,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
822,Land,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
835,Land,Single,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
852,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
861,Land,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
862,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
870,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
880,Industrial,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
892,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
894,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
899,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
914,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
916,Retail,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
918,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
927,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
936,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
942,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
951,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
955,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
957,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
978,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
981,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
984,Retail,Single,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
990,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
993,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1000,Land,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1004,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1007,Land,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1015,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1038,Industrial,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1041,Industrial,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1042,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1050,Retail,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1057,Industrial,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1083,Industrial,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1096,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1103,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1107,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1121,Industrial,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1123,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1129,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1149,Land,Single,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
1159,Office,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1160,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1170,Industrial,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1180,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1187,Industrial,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1199,Land,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1218,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1231,Retail,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1242,Office,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1247,Industrial,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1250,Land,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1257,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1267,Retail,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1277,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1287,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1289,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1296,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1316,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1333,Industrial,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1339,Retail,Subspace,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1344,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1347,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1353,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1363,Industrial,Subspace,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1381,Retail,Subspace,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1388,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1396,Office,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1413,Industrial,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1427,Land,Subspace,R003,parking,Cuenta con todos los servicios y estacionamiento.,parking_spaces,0,candidate_contradiction,medium,Listing explicitly claims parking while parking_spaces is zero/missing and parking is not listed as an amenity.
1433,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1436,Land,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1473,Industrial,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1475,Land,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1479,Retail,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1483,Office,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1483,Office,Single,R004,readiness,Recién remodelado con acabados modernos.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1492,Retail,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1497,Industrial,Single,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1501,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1518,Retail,Subspace,R004,readiness,Espacio listo para ocupar con acabados de primera.,building_status,needs_renovation,candidate_contradiction,medium,Listing claims ready/remodeled/modern condition while building_status is needs_renovation.
1571,Retail,Single,R002,security,Seguridad 24/7 y control de acceso.,security_type,none,candidate_contradiction,high,Listing claims security/access control while security_type is none or missing.
1587,Office,Subspace,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
1603,Office,Single,R001,natural_light,Amplio espacio con buena iluminación natural.,natural_light,False,candidate_contradiction,high,Listing claims natural light while the structured natural_light field is false.
