spot_id,pattern_id,classification,actionable,severity,evidence_text,structured_context,reason
28,NV_near_shopping_centers,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Amplio espacio con buena iluminación natural. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
29,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos.,,No directly comparable field in supplied payload.
32,NV_near_shopping_centers,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
32,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
33,NV_near_shopping_centers,not_verifiable,False,low,Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
34,NV_market_demand,not_verifiable,False,low,Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Perfecto para negocio en crecimiento.,,No directly comparable field in supplied payload.
35,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
35,NV_near_shopping_centers,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
36,NV_road_access,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
37,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
39,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
41,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales. Cuenta con todos los servicios y estacionamiento.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
41,NV_near_shopping_centers,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
41,NV_all_services,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Ubicación estratégica cerca de centros comerciales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
42,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
43,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Perfecto para negocio en crecimiento.,,No directly comparable field in supplied payload.
44,NV_market_demand,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
44,NV_all_services,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
45,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Perfecto para negocio en crecimiento.,,No directly comparable field in supplied payload.
46,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
48,S001,semantic_cross_field_mismatch,True,medium,Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
49,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
50,S002,semantic_cross_field_mismatch,False,low,Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,sector_name=Retail,"Retail described for office/distribution use; re-use is plausible, so informational only."
50,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
51,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución. Espacio listo para ocupar con acabados de primera.,,No directly comparable field in supplied payload.
52,S001,semantic_cross_field_mismatch,True,medium,Amplio espacio con buena iluminación natural.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
53,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,,No directly comparable field in supplied payload.
54,NV_road_access,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
54,NV_market_demand,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
55,NV_transit_access,not_verifiable,False,low,Ideal para oficinas corporativas o centro de distribución. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
56,NV_near_shopping_centers,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
56,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
58,NV_near_shopping_centers,not_verifiable,False,low,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
58,NV_market_demand,not_verifiable,False,low,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
60,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Excelente ubicación con acceso a vías principales.,security_type=cctv,Ontology does not establish incompatibility with strong security wording.
60,NV_road_access,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
61,NV_transit_access,not_verifiable,False,low,Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
62,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Espacio versátil adaptable a diferentes giros. Amplio espacio con buena iluminación natural.,,No directly comparable field in supplied payload.
63,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
63,NV_market_demand,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
64,NV_road_access,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
64,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
65,S003,ambiguous,False,low,Perfecto para negocio en crecimiento. Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
66,NV_all_services,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
67,NV_near_shopping_centers,not_verifiable,False,low,Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
68,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
69,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
69,NV_market_demand,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
70,NV_market_demand,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
71,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Espacio versátil adaptable a diferentes giros.,,No directly comparable field in supplied payload.
72,NV_near_shopping_centers,not_verifiable,False,low,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
73,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,,No directly comparable field in supplied payload.
74,NV_road_access,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
75,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
76,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Espacio versátil adaptable a diferentes giros.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
77,NV_near_shopping_centers,not_verifiable,False,low,Recién remodelado con acabados modernos. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
78,S002,semantic_cross_field_mismatch,False,low,Ideal para oficinas corporativas o centro de distribución.,sector_name=Retail,"Retail described for office/distribution use; re-use is plausible, so informational only."
80,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
81,NV_all_services,not_verifiable,False,low,Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros.,,No directly comparable field in supplied payload.
82,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
83,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
83,NV_transit_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
85,S001,semantic_cross_field_mismatch,True,medium,Recién remodelado con acabados modernos.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
86,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Perfecto para negocio en crecimiento.,,No directly comparable field in supplied payload.
87,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
88,NV_road_access,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
88,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
89,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
90,NV_transit_access,not_verifiable,False,low,Ideal para oficinas corporativas o centro de distribución. Fácil acceso a transporte público y avenidas principales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
90,NV_market_demand,not_verifiable,False,low,Ideal para oficinas corporativas o centro de distribución. Fácil acceso a transporte público y avenidas principales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
91,NV_near_shopping_centers,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
91,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
93,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
94,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
94,NV_market_demand,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
95,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
97,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Recién remodelado con acabados modernos.,,No directly comparable field in supplied payload.
97,NV_road_access,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Recién remodelado con acabados modernos.,,No directly comparable field in supplied payload.
98,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
99,NV_transit_access,not_verifiable,False,low,Espacio listo para ocupar con acabados de primera. Fácil acceso a transporte público y avenidas principales. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
101,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento. Espacio listo para ocupar con acabados de primera.,,No directly comparable field in supplied payload.
102,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
103,NV_transit_access,not_verifiable,False,low,Espacio listo para ocupar con acabados de primera. Seguridad 24/7 y control de acceso. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
105,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
106,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
109,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
109,NV_market_demand,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
110,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
111,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
112,NV_market_demand,not_verifiable,False,low,Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial. Espacio listo para ocupar con acabados de primera.,,No directly comparable field in supplied payload.
113,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
113,NV_all_services,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
114,NV_all_services,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
116,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Fácil acceso a transporte público y avenidas principales.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
116,NV_transit_access,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
117,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Perfecto para negocio en crecimiento.,,No directly comparable field in supplied payload.
118,NV_road_access,not_verifiable,False,low,Seguridad 24/7 y control de acceso. Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros.,,No directly comparable field in supplied payload.
120,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Seguridad 24/7 y control de acceso. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
121,NV_near_shopping_centers,not_verifiable,False,low,Espacio listo para ocupar con acabados de primera. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
122,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
123,S003,ambiguous,False,low,Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
123,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
123,NV_market_demand,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
124,S002,semantic_cross_field_mismatch,False,low,Recién remodelado con acabados modernos. Perfecto para negocio en crecimiento. Ideal para oficinas corporativas o centro de distribución.,sector_name=Retail,"Retail described for office/distribution use; re-use is plausible, so informational only."
125,S001,semantic_cross_field_mismatch,True,medium,Espacio listo para ocupar con acabados de primera. Perfecto para negocio en crecimiento. Espacio versátil adaptable a diferentes giros.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
128,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
130,NV_near_shopping_centers,not_verifiable,False,low,Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
132,NV_road_access,not_verifiable,False,low,Espacio listo para ocupar con acabados de primera. Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
132,NV_all_services,not_verifiable,False,low,Espacio listo para ocupar con acabados de primera. Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
133,S002,semantic_cross_field_mismatch,False,low,Ideal para oficinas corporativas o centro de distribución.,sector_name=Retail,"Retail described for office/distribution use; re-use is plausible, so informational only."
135,NV_near_shopping_centers,not_verifiable,False,low,Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
135,NV_all_services,not_verifiable,False,low,Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
136,S002,semantic_cross_field_mismatch,False,low,Ideal para oficinas corporativas o centro de distribución.,sector_name=Retail,"Retail described for office/distribution use; re-use is plausible, so informational only."
138,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
139,NV_transit_access,not_verifiable,False,low,Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
139,NV_all_services,not_verifiable,False,low,Perfecto para negocio en crecimiento. Fácil acceso a transporte público y avenidas principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
140,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
141,NV_market_demand,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
142,NV_road_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
142,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Excelente ubicación con acceso a vías principales.,,No directly comparable field in supplied payload.
143,NV_market_demand,not_verifiable,False,low,Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
144,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
145,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
147,NV_near_shopping_centers,not_verifiable,False,low,Espacio versátil adaptable a diferentes giros. Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
148,S001,semantic_cross_field_mismatch,True,medium,Espacio listo para ocupar con acabados de primera.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
149,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros. Espacio listo para ocupar con acabados de primera.,,No directly comparable field in supplied payload.
150,S002,semantic_cross_field_mismatch,False,low,Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,sector_name=Retail,"Retail described for office/distribution use; re-use is plausible, so informational only."
150,S003,ambiguous,False,low,Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
150,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,,No directly comparable field in supplied payload.
152,NV_all_services,not_verifiable,False,low,Ideal para oficinas corporativas o centro de distribución. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
154,S003,ambiguous,False,low,Seguridad 24/7 y control de acceso. Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,security_type=cctv,Ontology does not establish incompatibility with strong security wording.
155,NV_market_demand,not_verifiable,False,low,Espacio versátil adaptable a diferentes giros. Cuenta con todos los servicios y estacionamiento. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
155,NV_all_services,not_verifiable,False,low,Espacio versátil adaptable a diferentes giros. Cuenta con todos los servicios y estacionamiento. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
156,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
157,S001,semantic_cross_field_mismatch,True,medium,Ideal para oficinas corporativas o centro de distribución. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
157,NV_market_demand,not_verifiable,False,low,Ideal para oficinas corporativas o centro de distribución. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,,No directly comparable field in supplied payload.
