table,column,role,valid_stage,action,missing_semantics,treatment,leakage_status,llm_relevance,notes
spots,total_views,mutable_current_state,none default,BLOCK,none,no safe reconstruction from available data,BLOCK,none,No views event table exists.
spots,is_active,mutable_current_state,none default,REPLACE,none,replace with backward-as-of availability state,BLOCK raw,none,Historical state not reconstructable from this current field.
spots,created_at,timestamp,T1/T2,DERIVE,none,spot_age_at_score_days,ALLOW,none,Validate created_at <= inquiry time.
spot_attributes,spot_id,foreign_key,T1/T2,KEY_ONLY,none,1:1 join key,ALLOW as key; BLOCK as predictor,none,Must cover all spots exactly once.
spot_attributes,natural_light,boolean,T1/T2,USE_GATED,none,boolean; gate built-environment attributes for Land,ALLOW,high,LLM/Rules can cross-check copy claims.
spot_attributes,luminaires,count,T1/T2,USE_GATED_DERIVED,none,raw + log1p + density/100sqm; gate for Land,ALLOW,low,Zero is meaningful.
spot_attributes,charging_ports,count,T1/T2,USE_GATED_DERIVED,real missing ~20%; zero distinct from unknown,retain NaN + missing flag + density; gate for Land,ALLOW,low,Never coerce null to zero without indicator.
spot_attributes,security_type,categorical,T1/T2,USE_GATED,none,categorical; gate for Land,ALLOW,high,Cross-field security copy QA candidate.
spot_attributes,floor_level,numeric_ordinal,T1/T2,USE_GATED_DERIVED,none,raw + ground/low/mid/high bucket; gate for Land,ALLOW,low,Avoid assuming linear floor effect.
spot_attributes,elevators,count,T1/T2,USE_GATED_DERIVED,none,raw + log1p + density/1000sqm; gate for Land,ALLOW,medium,Land values are physically suspicious; exclude from default Land representation.
spot_attributes,vertical_height_m,numeric,T1/T2,USE_GATED_DERIVED,real missing ~15%; sector-dependent,retain NaN + missing flag; gate Land; sector-aware interpretation,ALLOW,medium,Industrial median materially differs from Office/Retail; Land observed values mostly 0.
spot_attributes,parking_spaces,count,T1/T2,USE_DERIVED,none,raw + log1p + density/1000sqm,ALLOW,high,Copy can be checked against parking claim/amenity.
spot_attributes,building_status,categorical,T1/T2,USE_GATED,none,categorical; gate for Land,ALLOW,high,Readiness/remodeling copy conflicts are QA candidates.
spot_attributes,floor_material,categorical,T1/T2,USE_GATED,real missing ~7.9%,retain unknown/missing; gate for Land,ALLOW,medium,Building-specific semantics weak for Land.
spot_attributes,amenities,json_list,T1/T2,PARSE,none,parse JSON; amenities_count + 12 fixed multi-hot flags,ALLOW,low,Do not one-hot 986 raw list combinations; no LLM needed for structured JSON.
inquiries,inquiry_id,primary_key,T1/T2,KEY_ONLY,none,metadata/order tie-breaker only,ALLOW as key; BLOCK as predictor,none,One interaction row.
inquiries,lead_id,foreign_key,T1/T2,KEY_ONLY,none,join/isolation key,ALLOW as key; BLOCK as predictor,none,FK to leads.
inquiries,spot_id,foreign_key,T1/T2,KEY_ONLY_DERIVE,none,join to spot; never raw numeric predictor,ALLOW as key; BLOCK as predictor,none,FK to spots.
inquiries,inquiry_at,timestamp,T1/T2,KEY_DERIVE,none,score time; hour/weekday; history cutoff,ALLOW,none,T1/T2 scoring timestamp.
inquiries,channel,categorical,T1/T2,USE,none,categorical,ALLOW,low,Available when inquiry arrives.
inquiries,message_length,numeric_text_proxy,T1/T2,USE_DERIVED,none,raw + log1p,ALLOW,medium,"Only weak proxy; LLM would need raw message text, which is absent."
inquiries,requested_area_sqm,numeric,T1/T2,USE_DERIVED,none,raw + log1p; ratios/deltas vs T0 and spot,ALLOW,none,Represents dynamic need refinement.
inquiries,requested_budget_mxn_rent_monthly,numeric,T1/T2,USE_DERIVED,structural by lead modality,raw + log1p; ratio vs initial budget and spot effective monthly cost,ALLOW,none,Do not impute sale inquiries with rent values.
inquiries,requested_budget_mxn_sale_total,numeric,T1/T2,USE_DERIVED,structural by lead modality,raw + log1p; ratio vs initial budget and spot sale price,ALLOW,none,Do not mix purchase and rent units.
inquiries,urgency_days,numeric,T1/T2,USE_DERIVED,real missing ~30.6%,retain NaN + missing flag + business buckets,ALLOW,high if raw text existed,"Missing means not stated, not median urgency."
inquiries,asked_visit,boolean,T1/T2,USE,none,boolean,ALLOW,medium if raw text existed,Lead intent at inquiry time; distinct from scheduled_visit outcome.
inquiries,broker_response,future_outcome,target/history only,BLOCK_CURRENT,none,current row blocked; prior realized statuses may feed T2/broker/spot history,BLOCK current; CONDITIONAL historical,none,scheduled_visit is target proxy; never current T1 feature.
inquiries,broker_response_hours,post_inquiry_timing,history only,BLOCK_CURRENT_CLEAN_HISTORY,semantically inconsistent: no_response often has hours; responded rows can miss hours,derive response_event_at only for accepted/rejected/scheduled_visit with non-null hours; historical only,BLOCK current; CONDITIONAL historical,none,Never treat as clean SLA.
availability_snapshot,snapshot_id,primary_key,T1/T2,KEY_ONLY,none,metadata only,ALLOW as key; BLOCK as predictor,none,One snapshot observation.
availability_snapshot,spot_id,foreign_key,T1/T2,KEY_ONLY,none,as-of join key,ALLOW as key; BLOCK as predictor,none,Never raw join by spot_id alone.
availability_snapshot,snapshot_date,timestamp,T1/T2,KEY_DERIVE,none,latest snapshot_date <= score_time; derive age/freshness,CONDITIONAL; backward as-of required,none,Raw spot join expands inquiries ~10x.
availability_snapshot,is_available,boolean,T1/T2,USE_ASOF,none,boolean after backward as-of,CONDITIONAL,none,Point-in-time state only.
availability_snapshot,days_until_available,numeric,T1/T2,USE_ASOF_DERIVED,none,raw + log1p + now/30/60/90/>90 buckets,CONDITIONAL,none,Consistent with is_available in source.
availability_snapshot,competing_inquiries_30d,count,T1/T2,USE_ASOF_DERIVED,none,raw + log1p after backward as-of,CONDITIONAL,none,Assumed retrospective to snapshot date.
market_context,state,join_key,experimental only,CONDITIONAL,none,join key only,CONDITIONAL publication semantics,none,Default ABT excludes market context.
market_context,municipality,join_key,experimental only,CONDITIONAL,none,join key only,CONDITIONAL publication semantics,none,Exact coverage is low.
market_context,corridor,join_key,experimental only,CONDITIONAL,none,join key only,CONDITIONAL publication semantics,none,Exact coverage ~23.8%.
market_context,sector,join_key,experimental only,CONDITIONAL,none,join key only,CONDITIONAL publication semantics,none,Match to lead/spot sector.
market_context,month,temporal_key,experimental only,CONDITIONAL,none,never same-month by default; require published/effective semantics or prior closed period,CONDITIONAL/UNKNOWN,none,Month key alone does not establish information availability.
market_context,similar_available_spots,count,experimental only,CONDITIONAL_DERIVED,none,raw/log1p; potential supply-depth metric,CONDITIONAL/UNKNOWN,none,Exclude default until publication semantics exist.
market_context,avg_price_sqm_mxn,numeric,experimental only,CONDITIONAL_DERIVED,none,raw/log1p; rent context only,CONDITIONAL/UNKNOWN,none,Rent monthly price per m²; not sale price context.
market_context,recent_occupancy_rate,rate,experimental only,CONDITIONAL,none,raw or logit for linear models,CONDITIONAL/UNKNOWN,none,Potential market tightness.
market_context,absorption_velocity_days,numeric,experimental only,CONDITIONAL_DERIVED,none,raw/log1p,CONDITIONAL/UNKNOWN,none,Potential market velocity.
market_context,recent_inquiry_volume,count,experimental only,CONDITIONAL_DERIVED,none,raw/log1p; candidate demand/supply pressure ratio,CONDITIONAL/UNKNOWN,none,Exclude default until time semantics are defensible.
