spot_id,sector_name,type_name,modality,title,description,natural_light,security_type,parking_spaces,building_status,amenities,s001_discovery_pattern_present,human_actionable_issue,human_claim_labels_json,human_notes,reviewer,reviewed_at
240,Land,Single,sale,Single de 7596 m² en macroplaza,Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera. Amplio espacio con buena iluminación natural.,True,basic,2,fair,"[""security_booth"",""rooftop""]",1,,,,,
380,Land,Subspace,both,"Subspace 25427 m², andares-puerta-hierro",Fácil acceso a transporte público y avenidas principales. Ideal para oficinas corporativas o centro de distribución. Ubicación estratégica cerca de centros comerciales.,True,cctv,2,fair,[],0,,,,,
383,Land,Single,sale,"Single Land en roma-condesa, Cuauhtémoc",Cuenta con todos los servicios y estacionamiento.,True,basic,2,good,"[""storage"",""gym"",""loading_dock"",""meeting_rooms""]",0,,,,,
384,Land,Subspace,rent,"Land compartido en centenario-colosio, Hermosillo",Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural. Perfecto para negocio en crecimiento.,True,basic,5,fair,[],1,,,,,
386,Land,Subspace,rent,"Subspace en Land - centro-leon, León",Excelente ubicación con acceso a vías principales.,True,basic,3,good,[],0,,,,,
390,Land,Subspace,both,"Subspace en Land - andares-puerta-hierro, Zapopan",Perfecto para negocio en crecimiento.,True,basic,2,good,[],0,,,,,
422,Land,Single,rent,Single de 12315 m² en metepec-toluca,Ubicación estratégica cerca de centros comerciales. Espacio listo para ocupar con acabados de primera.,True,none,2,fair,"[""reception"",""kitchen""]",1,,,,,
581,Land,Subspace,both,"Subspace 3324 m², centro-leon",Zona de alta plusvalía y demanda comercial.,True,cctv,3,good,"[""security_booth""]",0,,,,,
585,Land,Single,sale,Single de 3470 m² en macroplaza,Recién remodelado con acabados modernos.,True,none,1,good,"[""lounge"",""meeting_rooms"",""cafeteria""]",1,,,,,
590,Land,Single,rent,"Single Land en lomas-carranza, San Luis Potosí",Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,True,cctv,1,good,[],1,,,,,
602,Land,Single,sale,"Land Single - metepec-toluca, Toluca",Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,False,basic,0,good,[],1,,,,,
618,Land,Subspace,rent,"Land compartido en zona-rio-aguacaliente, Tijuana",Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,True,none,2,new,[],1,,,,,
760,Land,Single,both,"Single Land en americana-chapultepec, Guadalajara",Fácil acceso a transporte público y avenidas principales.,True,basic,0,good,"[""cafeteria"",""kitchen"",""meeting_rooms""]",0,,,,,
798,Land,Single,rent,Single de 3243 m² en roma-condesa,Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros. Amplio espacio con buena iluminación natural.,True,full,3,new,[],1,,,,,
799,Land,Subspace,sale,"Land compartido en paseo-montejo, Mérida",Espacio listo para ocupar con acabados de primera.,True,basic,0,good,[],1,,,,,
949,Land,Subspace,both,"Subspace 10716 m², andares-puerta-hierro",Espacio versátil adaptable a diferentes giros. Cuenta con todos los servicios y estacionamiento.,True,cctv,3,good,[],0,,,,,
958,Land,Subspace,both,"Land compartido en angelopolis-lomas, Puebla",Seguridad 24/7 y control de acceso.,True,cctv,1,fair,[],0,,,,,
959,Land,Subspace,sale,"Subspace 1551 m², americana-chapultepec",Ubicación estratégica cerca de centros comerciales.,True,cctv,1,fair,"[""storage"",""reception"",""lounge""]",0,,,,,
963,Land,Single,rent,"Single Land en americana-chapultepec, Guadalajara",Cuenta con todos los servicios y estacionamiento.,True,cctv,1,fair,[],0,,,,,
972,Land,Single,rent,"Single Land en paseo-montejo, Mérida",Perfecto para negocio en crecimiento.,True,none,2,good,"[""cafeteria"",""rooftop"",""reception""]",0,,,,,
974,Land,Single,both,"Land Single - zona-rio-aguacaliente, Tijuana",Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales. Ideal para oficinas corporativas o centro de distribución.,True,cctv,3,good,"[""kitchen"",""parking"",""rooftop"",""conference_room""]",0,,,,,
1137,Land,Single,sale,"Single Land en americana-chapultepec, Guadalajara",Espacio listo para ocupar con acabados de primera. Seguridad 24/7 y control de acceso.,True,cctv,1,new,"[""meeting_rooms"",""conference_room"",""parking""]",1,,,,,
1143,Land,Single,both,Single de 4546 m² en andares-puerta-hierro,Ubicación estratégica cerca de centros comerciales. Recién remodelado con acabados modernos.,True,full,3,good,"[""meeting_rooms"",""storage"",""reception""]",1,,,,,
1146,Land,Single,rent,"Single Land en juriquilla-juncos, Querétaro",Perfecto para negocio en crecimiento.,False,cctv,2,good,[],0,,,,,
1161,Land,Single,both,"Land Single - del-valle-narvarte, Benito Juárez",Espacio listo para ocupar con acabados de primera. Seguridad 24/7 y control de acceso. Ideal para oficinas corporativas o centro de distribución.,True,cctv,2,fair,[],1,,,,,
1164,Land,Single,rent,"Single Land en lomas-verdes-satelite, Naucalpan de Juárez",Zona de alta plusvalía y demanda comercial. Ubicación estratégica cerca de centros comerciales.,True,basic,0,good,"[""security_booth"",""loading_dock""]",0,,,,,
1171,Land,Single,both,"Single Land en americana-chapultepec, Guadalajara",Amplio espacio con buena iluminación natural.,True,basic,3,good,"[""kitchen"",""reception"",""loading_dock"",""cafeteria""]",1,,,,,
1178,Land,Subspace,both,"Subspace 886 m², centro-chihuahua",Ubicación estratégica cerca de centros comerciales. Amplio espacio con buena iluminación natural.,True,basic,0,good,"[""meeting_rooms"",""kitchen"",""security_booth""]",1,,,,,
1181,Land,Single,both,"Land Single - lomas-carranza, San Luis Potosí",Cuenta con todos los servicios y estacionamiento. Espacio listo para ocupar con acabados de primera. Amplio espacio con buena iluminación natural.,True,basic,4,good,"[""reception""]",1,,,,,
1326,Land,Subspace,rent,"Land compartido en lomas-carranza, San Luis Potosí",Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros.,True,basic,4,new,"[""cafeteria"",""reception"",""loading_dock"",""gym""]",0,,,,,
1328,Land,Single,rent,Single de 17167 m² en roma-condesa,Cuenta con todos los servicios y estacionamiento. Excelente ubicación con acceso a vías principales. Fácil acceso a transporte público y avenidas principales.,True,cctv,2,good,"[""kitchen"",""loading_dock"",""reception""]",0,,,,,
1342,Land,Single,both,"Land Single - polanco, Miguel Hidalgo",Zona de alta plusvalía y demanda comercial.,True,cctv,2,new,[],0,,,,,
1346,Land,Single,rent,"Single Land en macroplaza, Monterrey",Zona de alta plusvalía y demanda comercial.,False,none,3,good,"[""reception""]",0,,,,,
1356,Land,Single,both,"Single Land en metepec-toluca, Toluca",Espacio listo para ocupar con acabados de primera. Fácil acceso a transporte público y avenidas principales.,False,none,6,good,"[""cafeteria""]",1,,,,,
1375,Land,Single,sale,"Single Land en del-valle-narvarte, Benito Juárez",Ideal para oficinas corporativas o centro de distribución. Fácil acceso a transporte público y avenidas principales. Espacio listo para ocupar con acabados de primera.,True,basic,4,fair,"[""reception""]",1,,,,,
1515,Land,Single,sale,Single de 304 m² en metepec-toluca,Espacio versátil adaptable a diferentes giros. Recién remodelado con acabados modernos. Zona de alta plusvalía y demanda comercial.,True,basic,0,good,"[""reception"",""parking"",""cafeteria"",""conference_room""]",1,,,,,
1521,Land,Single,sale,"Land Single - del-valle-narvarte, Benito Juárez",Ubicación estratégica cerca de centros comerciales.,True,cctv,2,needs_renovation,[],0,,,,,
1531,Land,Single,sale,"Land Single - vasconcelos-calzada, San Pedro Garza García",Zona de alta plusvalía y demanda comercial. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,True,full,3,fair,"[""parking"",""loading_dock"",""reception"",""lounge""]",0,,,,,
1541,Land,Single,both,"Single Land en centro-leon, León",Ubicación estratégica cerca de centros comerciales. Espacio versátil adaptable a diferentes giros. Perfecto para negocio en crecimiento.,False,full,3,needs_renovation,"[""meeting_rooms"",""lounge""]",0,,,,,
1542,Land,Single,sale,Single de 7584 m² en juriquilla-juncos,Zona de alta plusvalía y demanda comercial.,False,basic,1,fair,"[""lounge"",""gym""]",0,,,,,
1547,Land,Single,rent,"Land Single - centro-leon, León",Zona de alta plusvalía y demanda comercial.,True,basic,2,good,[],0,,,,,
1548,Land,Subspace,rent,"Subspace 2027 m², macroplaza",Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Fácil acceso a transporte público y avenidas principales.,True,cctv,2,good,"[""loading_dock"",""kitchen""]",0,,,,,
1550,Land,Single,rent,"Land Single - vasconcelos-calzada, San Pedro Garza García",Excelente ubicación con acceso a vías principales. Perfecto para negocio en crecimiento.,False,none,2,fair,"[""gym"",""conference_room"",""parking""]",0,,,,,
1707,Land,Subspace,rent,"Subspace en Land - metepec-toluca, Toluca",Espacio listo para ocupar con acabados de primera. Seguridad 24/7 y control de acceso.,False,basic,1,new,[],1,,,,,
1713,Land,Single,both,Single de 8096 m² en centro-chihuahua,Cuenta con todos los servicios y estacionamiento. Zona de alta plusvalía y demanda comercial. Espacio listo para ocupar con acabados de primera.,False,basic,4,new,"[""loading_dock"",""reception"",""cafeteria"",""meeting_rooms""]",1,,,,,
1716,Land,Single,sale,Single de 3789 m² en del-valle-narvarte,Recién remodelado con acabados modernos. Seguridad 24/7 y control de acceso.,True,cctv,2,good,[],1,,,,,
1721,Land,Subspace,both,"Subspace en Land - zona-rio-aguacaliente, Tijuana",Excelente ubicación con acceso a vías principales. Espacio versátil adaptable a diferentes giros.,True,basic,2,good,"[""conference_room""]",0,,,,,
1730,Land,Single,sale,"Single Land en zona-rio-aguacaliente, Tijuana",Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros.,True,cctv,0,new,[],1,,,,,
1739,Land,Subspace,rent,"Land compartido en vasconcelos-calzada, San Pedro Garza García",Ideal para oficinas corporativas o centro de distribución. Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros.,True,full,2,new,"[""gym"",""meeting_rooms"",""conference_room""]",0,,,,,
1749,Land,Subspace,rent,"Subspace en Land - polanco, Miguel Hidalgo",Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,True,basic,2,good,[],1,,,,,
1896,Land,Subspace,both,"Land compartido en paseo-montejo, Mérida",Zona de alta plusvalía y demanda comercial. Espacio listo para ocupar con acabados de primera.,True,none,2,good,"[""parking""]",1,,,,,
1897,Land,Single,rent,"Single Land en angelopolis-lomas, Puebla",Excelente ubicación con acceso a vías principales. Fácil acceso a transporte público y avenidas principales. Cuenta con todos los servicios y estacionamiento.,True,full,1,good,[],0,,,,,
1898,Land,Subspace,rent,"Land compartido en americana-chapultepec, Guadalajara",Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,True,cctv,4,fair,[],1,,,,,
1899,Land,Subspace,both,"Subspace en Land - andares-puerta-hierro, Zapopan",Recién remodelado con acabados modernos. Espacio listo para ocupar con acabados de primera. Cuenta con todos los servicios y estacionamiento.,False,cctv,2,fair,"[""security_booth"",""conference_room""]",1,,,,,
1909,Land,Single,both,"Single Land en polanco, Miguel Hidalgo",Espacio versátil adaptable a diferentes giros.,False,basic,1,good,"[""loading_dock"",""storage""]",0,,,,,
1910,Land,Single,both,"Single Land en lomas-verdes-satelite, Naucalpan de Juárez",Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,True,none,3,fair,"[""loading_dock""]",1,,,,,
1911,Land,Single,rent,"Land Single - zona-rio-aguacaliente, Tijuana",Recién remodelado con acabados modernos. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,True,basic,2,fair,[],1,,,,,
1912,Land,Single,rent,"Land Single - roma-condesa, Cuauhtémoc",Espacio listo para ocupar con acabados de primera.,False,full,3,good,[],1,,,,,
1916,Land,Single,both,"Single Land en centenario-colosio, Hermosillo",Fácil acceso a transporte público y avenidas principales. Espacio versátil adaptable a diferentes giros. Seguridad 24/7 y control de acceso.,True,full,2,fair,"[""rooftop"",""gym""]",0,,,,,
1928,Land,Single,rent,"Land Single - polanco, Miguel Hidalgo",Espacio versátil adaptable a diferentes giros. Fácil acceso a transporte público y avenidas principales. Zona de alta plusvalía y demanda comercial.,True,full,2,good,[],0,,,,,
1936,Land,Single,rent,Single de 12543 m² en zona-rio-aguacaliente,Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,True,none,2,good,"[""meeting_rooms"",""gym"",""lounge""]",1,,,,,
2299,Land,Subspace,sale,"Land compartido en centro-leon, León",Recién remodelado con acabados modernos. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,True,basic,4,good,[],1,,,,,
2462,Land,Single,sale,"Single Land en zona-rio-aguacaliente, Tijuana",Perfecto para negocio en crecimiento. Cuenta con todos los servicios y estacionamiento. Espacio versátil adaptable a diferentes giros.,False,cctv,1,new,[],0,,,,,
2467,Land,Single,sale,"Single Land en centenario-colosio, Hermosillo",Cuenta con todos los servicios y estacionamiento.,True,basic,2,good,[],0,,,,,
2469,Land,Single,both,"Single Land en lomas-verdes-satelite, Naucalpan de Juárez",Recién remodelado con acabados modernos. Cuenta con todos los servicios y estacionamiento.,True,full,1,good,"[""lounge"",""conference_room"",""rooftop""]",1,,,,,
2475,Land,Subspace,both,"Subspace 1859 m², roma-condesa",Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera. Ubicación estratégica cerca de centros comerciales.,True,basic,0,good,[],1,,,,,
2476,Land,Subspace,sale,"Land compartido en paseo-montejo, Mérida",Recién remodelado con acabados modernos. Ideal para oficinas corporativas o centro de distribución.,False,basic,1,good,"[""security_booth"",""cafeteria"",""kitchen""]",1,,,,,
2478,Land,Single,rent,Single de 1802 m² en centenario-colosio,Recién remodelado con acabados modernos.,False,full,0,fair,[],1,,,,,
2485,Land,Subspace,both,"Subspace 3762 m², centro-leon",Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,True,cctv,3,good,"[""conference_room"",""reception"",""rooftop"",""kitchen""]",0,,,,,
2498,Land,Single,both,"Land Single - lomas-verdes-satelite, Naucalpan de Juárez",Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso.,False,full,2,good,[],0,,,,,
2505,Land,Subspace,rent,"Subspace en Land - roma-condesa, Cuauhtémoc",Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos. Excelente ubicación con acceso a vías principales.,True,basic,2,fair,"[""storage"",""gym"",""security_booth""]",1,,,,,
2650,Land,Subspace,sale,"Land compartido en zona-rio-aguacaliente, Tijuana",Espacio versátil adaptable a diferentes giros.,False,basic,2,good,"[""parking""]",0,,,,,
2654,Land,Subspace,both,"Land compartido en metepec-toluca, Toluca",Excelente ubicación con acceso a vías principales. Espacio listo para ocupar con acabados de primera.,False,full,3,good,"[""storage"",""loading_dock""]",1,,,,,
2658,Land,Single,rent,Single de 959 m² en polanco,Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución. Seguridad 24/7 y control de acceso.,False,basic,0,new,[],0,,,,,
2674,Land,Single,rent,Single de 4498 m² en lomas-verdes-satelite,Excelente ubicación con acceso a vías principales.,True,full,4,new,"[""lounge"",""parking""]",0,,,,,
2677,Land,Single,sale,"Single Land en angelopolis-lomas, Puebla",Perfecto para negocio en crecimiento.,True,cctv,1,fair,"[""cafeteria"",""storage"",""rooftop"",""reception""]",0,,,,,
2678,Land,Single,both,"Land Single - centro-queretaro, Querétaro",Perfecto para negocio en crecimiento.,True,cctv,3,good,"[""security_booth"",""lounge"",""parking""]",0,,,,,
2679,Land,Single,both,"Single Land en polanco, Miguel Hidalgo",Espacio listo para ocupar con acabados de primera.,True,cctv,2,good,"[""security_booth"",""meeting_rooms"",""lounge"",""conference_room""]",1,,,,,
2684,Land,Single,sale,"Single Land en centro-queretaro, Querétaro",Espacio listo para ocupar con acabados de primera.,True,full,1,good,"[""rooftop"",""meeting_rooms"",""loading_dock""]",1,,,,,
2685,Land,Single,rent,"Single Land en del-valle-narvarte, Benito Juárez",Zona de alta plusvalía y demanda comercial. Amplio espacio con buena iluminación natural. Fácil acceso a transporte público y avenidas principales.,True,cctv,1,fair,[],1,,,,,
2854,Land,Single,rent,Single de 8569 m² en centro-queretaro,Espacio listo para ocupar con acabados de primera. Recién remodelado con acabados modernos.,True,basic,4,fair,"[""parking"",""gym"",""rooftop"",""lounge""]",1,,,,,
2858,Land,Subspace,sale,"Subspace 9020 m², juriquilla-juncos",Excelente ubicación con acceso a vías principales.,True,cctv,5,fair,"[""rooftop"",""cafeteria""]",0,,,,,
2860,Land,Single,rent,"Single Land en paseo-montejo, Mérida",Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento.,True,cctv,1,fair,[],0,,,,,
2870,Land,Subspace,rent,"Subspace 13661 m², centro-leon",Perfecto para negocio en crecimiento. Ubicación estratégica cerca de centros comerciales.,True,basic,1,fair,"[""gym"",""conference_room"",""cafeteria""]",0,,,,,
2874,Land,Subspace,rent,"Subspace 88347 m², andares-puerta-hierro",Recién remodelado con acabados modernos.,True,none,1,good,[],1,,,,,
2882,Land,Subspace,both,"Subspace 4530 m², vasconcelos-calzada",Recién remodelado con acabados modernos.,True,basic,1,fair,"[""conference_room"",""meeting_rooms"",""cafeteria""]",1,,,,,
2889,Land,Subspace,rent,"Subspace en Land - andares-puerta-hierro, Zapopan",Perfecto para negocio en crecimiento. Espacio listo para ocupar con acabados de primera. Zona de alta plusvalía y demanda comercial.,True,full,1,new,[],1,,,,,
