feature_name,feature_family,source_table,raw_columns,business_meaning,stage,earliest_available_at,transformation,fit_required,fold_aware,leakage_risk,model_role,evidence,status,notes
intake_rent_budget_state,T1_A_INTAKE_DERIVED,leads,search_modality|min_budget_mxn_rent_monthly|max_budget_mxn_rent_monthly,NOT_APPLICABLE/UNKNOWN/PARTIAL/OBSERVED rent budget state,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_sale_budget_state,T1_A_INTAKE_DERIVED,leads,search_modality|min_budget_mxn_sale_total|max_budget_mxn_sale_total,NOT_APPLICABLE/UNKNOWN/PARTIAL/OBSERVED sale budget state,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_rent_budget_midpoint,T1_A_INTAKE_DERIVED,leads,min_budget_mxn_rent_monthly|max_budget_mxn_rent_monthly,Midpoint when both rent bounds are known,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_sale_budget_midpoint,T1_A_INTAKE_DERIVED,leads,min_budget_mxn_sale_total|max_budget_mxn_sale_total,Midpoint when both sale bounds are known,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_rent_budget_width,T1_A_INTAKE_DERIVED,leads,min_budget_mxn_rent_monthly|max_budget_mxn_rent_monthly,Rent interval width,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_sale_budget_width,T1_A_INTAKE_DERIVED,leads,min_budget_mxn_sale_total|max_budget_mxn_sale_total,Sale interval width,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_budget_bounds_consistent,T1_A_INTAKE_DERIVED,leads,search_modality|min/max budgets,Whether observed applicable min/max bounds are ordered,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_geography_specificity,T1_A_INTAKE_DERIVED,leads,preferred_state|preferred_municipality|preferred_corridor,Count of stated geographic levels,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_constraint_count,T1_A_INTAKE_DERIVED,leads,lead intake need fields,Count of stated applicable constraints,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
intake_completeness_rate,T1_A_INTAKE_DERIVED,leads,lead intake need fields,Applicability-aware intake completeness,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
log1p_target_area_sqm,T1_A_INTAKE_DERIVED,leads,target_area_sqm,Log transform for heavy-tailed target area,T0|T1|T2,leads.created_at,deterministic; applicability-aware,false,false,LOW,LEAD_QUALITY,EDA-04/05; P4 lineage,SUPPORTED,No learned bins or global statistics.
prior_searches,AUDIT_LEGACY_COUNTERS,leads,prior_searches,Delivered historical search counter,T0|T1|T2,UNPROVEN at leads.created_at,raw audit only,false,false,HIGH_UNPROVEN_AGGREGATE,AUDIT_ONLY,P1 temporal ontology,REJECTED,Not promoted without proof aggregate was frozen before intake.
prior_inquiries,AUDIT_LEGACY_COUNTERS,leads,prior_inquiries,Delivered historical inquiry counter,T0|T1|T2,UNPROVEN at leads.created_at,raw audit only,false,false,HIGH_UNPROVEN_AGGREGATE,AUDIT_ONLY,P1 temporal ontology,REJECTED,Not promoted without proof aggregate was frozen before intake.
has_converted_before,AUDIT_LEGACY_COUNTERS,leads,has_converted_before,Delivered historical conversion flag,T0|T1|T2,UNPROVEN at leads.created_at,raw audit only,false,false,HIGH_UNPROVEN_AGGREGATE,AUDIT_ONLY,P1 temporal ontology,REJECTED,Not promoted without proof aggregate was frozen before intake.
first_inquiry_lag_days,AUDIT_CLOCK,leads|inquiries,created_at|inquiry_at,Elapsed time from lead creation to first inquiry,T1,T1 score_time,score_time - lead.created_at,false,false,MEDIUM_CLOCK_DRIFT,AUDIT_ONLY,DRIFT-06,EXPERIMENTAL,Observable but excluded from core because process/clock drift is material.
channel,T1_B_CURRENT_INQUIRY,inquiries,channel,Current inquiry channel,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Known before broker response.
message_length,T1_B_CURRENT_INQUIRY,inquiries,message_length,Current message length,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Known before broker response.
requested_area_sqm,T1_B_CURRENT_INQUIRY,inquiries,requested_area_sqm,Current requested area,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Known before broker response.
requested_budget_mxn_rent_monthly,T1_B_CURRENT_INQUIRY,inquiries,requested_budget_mxn_rent_monthly,Current rent budget,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Known before broker response.
requested_budget_mxn_sale_total,T1_B_CURRENT_INQUIRY,inquiries,requested_budget_mxn_sale_total,Current sale budget,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Known before broker response.
urgency_days,T1_B_CURRENT_INQUIRY,inquiries,urgency_days,Current stated urgency,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Known before broker response.
asked_visit,T1_B_CURRENT_INQUIRY,inquiries,asked_visit,Current explicit visit intent,T1|T2,current inquiry.inquiry_at,raw current request payload,false,false,LOW,LEAD_QUALITY,P4 current-inquiry observability,REQUIRED,Pre-register WITH vs WITHOUT asked_visit.
urgency_not_stated,T1_B_INQUIRY_DERIVED,leads|inquiries,urgency_days,Explicit missing/not-stated urgency flag,T1|T2,current inquiry.inquiry_at,deterministic; no learned statistics,false,false,LOW,LEAD_QUALITY,EDA-04/05,SUPPORTED,Missingness is explicit; no zero-fill semantics.
inquiry_rent_budget_state,T1_B_INQUIRY_DERIVED,leads|inquiries,search_modality|requested_budget_mxn_rent_monthly,Applicability-aware rent budget state,T1|T2,current inquiry.inquiry_at,deterministic; no learned statistics,false,false,LOW,LEAD_QUALITY,EDA-04/05,SUPPORTED,Missingness is explicit; no zero-fill semantics.
inquiry_sale_budget_state,T1_B_INQUIRY_DERIVED,leads|inquiries,search_modality|requested_budget_mxn_sale_total,Applicability-aware sale budget state,T1|T2,current inquiry.inquiry_at,deterministic; no learned statistics,false,false,LOW,LEAD_QUALITY,EDA-04/05,SUPPORTED,Missingness is explicit; no zero-fill semantics.
inquiry_completeness_rate,T1_B_INQUIRY_DERIVED,leads|inquiries,current inquiry payload + search_modality,Applicability-aware inquiry completeness,T1|T2,current inquiry.inquiry_at,deterministic; no learned statistics,false,false,LOW,LEAD_QUALITY,EDA-04/05,SUPPORTED,Missingness is explicit; no zero-fill semantics.
log1p_message_length,T1_B_INQUIRY_DERIVED,leads|inquiries,message_length,Log transform of message length,T1|T2,current inquiry.inquiry_at,deterministic; no learned statistics,false,false,LOW,LEAD_QUALITY,EDA-04/05,SUPPORTED,Missingness is explicit; no zero-fill semantics.
log1p_requested_area_sqm,T1_B_INQUIRY_DERIVED,leads|inquiries,requested_area_sqm,Log transform of requested area,T1|T2,current inquiry.inquiry_at,deterministic; no learned statistics,false,false,LOW,LEAD_QUALITY,EDA-04/05,SUPPORTED,Missingness is explicit; no zero-fill semantics.
requested_to_target_area_ratio,T1_C_REFINEMENT,leads|inquiries,requested_area_sqm|target_area_sqm,T1 requested area divided by intake target,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
requested_target_area_gap_abs,T1_C_REFINEMENT,leads|inquiries,requested_area_sqm|target_area_sqm,Absolute area refinement gap,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
requested_target_area_gap_log1p,T1_C_REFINEMENT,leads|inquiries,requested_area_sqm|target_area_sqm,log1p absolute area gap,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
requested_area_direction,T1_C_REFINEMENT,leads|inquiries,requested_area_sqm|target_area_sqm,LOWER/SAME/HIGHER area refinement direction,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
rent_requested_within_intake_interval,T1_C_REFINEMENT,leads|inquiries,requested_budget_mxn_rent_monthly|min/max_budget_mxn_rent_monthly|search_modality,Whether current rent request lies inside intake interval,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
sale_requested_within_intake_interval,T1_C_REFINEMENT,leads|inquiries,requested_budget_mxn_sale_total|min/max_budget_mxn_sale_total|search_modality,Whether current sale request lies inside intake interval,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
rent_budget_refinement_ratio,T1_C_REFINEMENT,leads|inquiries,requested_budget_mxn_rent_monthly|intake rent midpoint,Current rent request / intake midpoint,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
sale_budget_refinement_ratio,T1_C_REFINEMENT,leads|inquiries,requested_budget_mxn_sale_total|intake sale midpoint,Current sale request / intake midpoint,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
rent_budget_interval_distance,T1_C_REFINEMENT,leads|inquiries,requested_budget_mxn_rent_monthly|min/max_budget_mxn_rent_monthly,Normalized distance outside intake rent interval; zero inside,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
sale_budget_interval_distance,T1_C_REFINEMENT,leads|inquiries,requested_budget_mxn_sale_total|min/max_budget_mxn_sale_total,Normalized distance outside intake sale interval; zero inside,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
budget_modality_consistent,T1_C_REFINEMENT,leads|inquiries,search_modality|requested rent/sale budgets,Whether current budget fields respect applicability,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
completeness_delta_t1_t0,T1_C_REFINEMENT,leads|inquiries,intake_completeness_rate|inquiry_completeness_rate,Change in stated-constraint completeness,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
need_change_count,T1_C_REFINEMENT,leads|inquiries,area and applicable budget refinements,Number of material T0→T1 need changes,T1,current inquiry.inquiry_at,deterministic comparison of T0 intake to T1 payload,false,false,LOW,LEAD_QUALITY,EDA-04 and prompt P5-6 preregistration,SUPPORTED,No broker response and no selected Spot.
geographic_refinement,T1_C_REFINEMENT,inquiries,NO CURRENT INQUIRY GEOGRAPHY FIELD,Current inquiry geographic refinement,T1,NOT OBSERVABLE,not constructed,false,false,HIGH_NOT_OBSERVED,LEAD_QUALITY,Raw schema audit,REJECTED,"Would require selected Spot geography, which belongs to Matching, not core LeadQuality."
t2_prior_inquiry_count,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Number of strict-prior inquiries,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_time_since_previous_inquiry_days,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Elapsed time since immediately prior inquiry,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_gap_mean_days,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Mean gaps among strict-prior inquiry events,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_gap_median_days,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Median gaps among strict-prior inquiry events,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_inquiry_velocity_30d,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Strict-prior inquiry count in trailing 30d divided by 30,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_prior_unique_channels,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Unique strict-prior channels,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_prior_same_channel_rate,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Share of strict-prior inquiries using current channel,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_area_last,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Last strict-prior requested area,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_area_mean,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Mean strict-prior requested area,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_area_std,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Std strict-prior requested area,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_area_trend_per_step,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Prior requested-area first-to-last trend per step,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_to_hist_area_ratio,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Current requested area / strict-prior mean,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_rent_budget_last,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Last strict-prior rent budget,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_rent_budget_mean,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Mean strict-prior rent budget,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_rent_budget_std,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Std strict-prior rent budget,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_rent_budget_trend_per_step,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Prior rent-budget trend per step,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_to_hist_rent_budget_ratio,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Current rent budget / strict-prior mean,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_sale_budget_last,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Last strict-prior sale budget,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_sale_budget_mean,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Mean strict-prior sale budget,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_sale_budget_std,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Std strict-prior sale budget,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_sale_budget_trend_per_step,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Prior sale-budget trend per step,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_to_hist_sale_budget_ratio,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Current sale budget / strict-prior mean,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_urgency_last,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Last strict-prior urgency,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_urgency_mean,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Mean strict-prior urgency,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_urgency_std,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Std strict-prior urgency,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_urgency_trend_per_step,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Prior urgency trend per step,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_vs_hist_urgency_delta,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Current urgency minus strict-prior mean,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_prior_unique_spots,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Unique strict-prior Spot references,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_spot_prior_count,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,How often current Spot was referenced strictly before score_time,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_current_spot_revisit_flag,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Whether current Spot was seen strictly before score_time,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
t2_hist_constraint_count_mean,T2_TRAJECTORY,inquiries,strict-prior inquiry request/event payload only,Mean strict-prior request constraint count,T2,strictly before current score_time; current payload only where named,streaming/shift-before-aggregation deterministic trajectory,false,false,LOW_TO_MEDIUM,LEAD_QUALITY,D035 inherited hypothesis only; P4 strict history gate,SUPPORTED,Implemented with history state read before current event is appended.
